Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-9790-2022","2022-05-11 10:54:41","415593872","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","438095.24","15.75","15.75","Studio","41","P1-19","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","SLS DUBAI"
"11-9791-2022","2022-05-11 10:55:06","10121816","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","4200000","450.09","450.09","","","","","","Motor City","2","1","","DAMAC HILLS - SILVER SPRINGS"
"11-9792-2022","2022-05-11 10:55:12","241676","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","490000","44.46","44.46","Studio","33","DMCC-2095","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","LAKE CITY TOWER"
"11-9793-2022","2022-05-11 10:56:42","358009658","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fifth","Unit","Flat","1332900","137.4","137.4","2 B/R","4","P-36","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","ZaZEN One"
"11-9794-2022","2022-05-11 10:58:35","35254214","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","2275000","68.97","68.97","1 B/R","15","B3-412","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","1","1","","Jumeirah Gate"
"11-9795-2022","2022-05-11 10:58:54","291278","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","485000","101.65","101.65","2 B/R","4","P2 F 92","","","IMG World Adventures","1","1","","SKY COURTS"
"11-9796-2022","2022-05-11 10:59:37","222336188","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","1250000","129.62","129.62","3 B/R","2","G-38","Dubai Internet City","Marina Mall","Sports City Swimming Academy","2","1","","Beverly Residence"
"11-9797-2022","2022-05-11 11:02:22","291279","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","540000","115.35","115.35","2 B/R","4","P2 F 93","","","IMG World Adventures","1","1","","SKY COURTS"
"11-9798-2022","2022-05-11 11:06:09","26162647","Sales","Sale","Ready","Free Hold","Residential","Nad Al Shiba First","Land","Residential","7000000","511.98","511.98","","","","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","GRAND VIEWS"
"11-9799-2022","2022-05-11 11:07:57","229793","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1425000","88.72","88.72","1 B/R","4","P1 - 1139","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","1","1","",""
"11-9800-2022","2022-05-11 11:08:27","277198828","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Land","Residential","2110000","193.94","193.94","","","","","","Dubai Cycling Course","2","1","","MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA"
